STATE,DISTRICT,ISSUE
GA,13,JSON candidate NOT on SWC: Ronald Mckenzie (D) [slug: ronald---mckenzie]
GA,13,JSON candidate NOT on SWC: Jonathan Bonner (D) [slug: jonathan---bonner]
GA,13,JSON candidate NOT on SWC: Pierre Whatley (D) [slug: pierre---whatley]
GA,13,JSON candidate NOT on SWC: Carlos Moore (D) [slug: carlos---moore]
GA,14,JSON candidate NOT on SWC: Megahn Strickland (R) [slug: megahn---strickland]
GA,14,JSON candidate NOT on SWC: Thomas Gray (R) [slug: thomas---gray]
GA,14,JSON candidate NOT on SWC: Eric Cunningham (R) [slug: eric---cunningham]
GA,14,JSON candidate NOT on SWC: Linvel Risner (R) [slug: linvel---risner]
GA,14,JSON candidate NOT on SWC: Rob Ruszkowski ( Rush ) (I) [slug: rob---ruszkowskirush]
GA,14,JSON candidate NOT on SWC: Timothy Brown (R) [slug: timothy---brown]
GA,14,JSON candidate NOT on SWC: Elvis Casely Jr (R) [slug: elvis---casely]
GA,14,JSON candidate NOT on SWC: Brian Stover (R) [slug: brian---stover]
GA,14,JSON candidate NOT on SWC: Jim Davis (D) [slug: jim---davis]
GA,14,JSON candidate NOT on SWC: Andrew Underwood (I) [slug: andrew---underwood]
GA,14,JSON candidate NOT on SWC: Jacqueline Wilmer (R) [slug: jacqueline---wilmer]
GA,14,JSON candidate NOT on SWC: Colton Moore (R) [slug: colton---moore]
GA,14,JSON candidate NOT on SWC: Benjamin Cope (R) [slug: benjamin---cope]
GA,14,JSON candidate NOT on SWC: Nicky Lama (R) [slug: nicky---lama]
GA,14,JSON candidate NOT on SWC: Jenna Turnipseed (R) [slug: jenna---turnipseed]
GA,14,JSON candidate NOT on SWC: Jonathan Hobbs (D) [slug: jonathan---hobbs]
GA,14,JSON candidate NOT on SWC: Jim Tully (R) [slug: jim---tully]
GA,14,JSON candidate NOT on SWC: Star Black (R) [slug: star---black]
GU,At-Large,JSON candidate NOT on SWC: Mary Torres (R) [slug: mary---torres]
HI,1,JSON candidate NOT on SWC: Benjamin Fatula (D) [slug: benjamin---fatula]
HI,1,SWC candidate NOT in JSON: Maxwell Frazier (R) [slug: maxwell---frazier]
IA,Senate,JSON candidate NOT on SWC: Ashley Arenholz (R) [slug: ashley---arenholz]
IA,Senate,JSON candidate NOT on SWC: Jackie Norris (D) [slug: jackie---norris]
IA,Senate,JSON candidate NOT on SWC: Nathan Sage (D) [slug: nathan---sage]
IA,Senate,JSON candidate NOT on SWC: James Scholten (D) [slug: james---scholten]
IA,Senate,SWC candidate NOT in JSON: Ashley Hinson (R) [slug: ashley---hinson]
IA,Senate,Party mismatch for 'Thomas Laehn': JSON=I SWC=?
IA,1,JSON candidate NOT on SWC: Taylor Wettach (D) [slug: taylor---wettach]
IA,2,JSON candidate NOT on SWC: Guy Morgan (D) [slug: guy---morgan]
IA,2,JSON candidate NOT on SWC: Kevin Techau (D) [slug: kevin---techau]
IA,2,JSON candidate NOT on SWC: Ashley Hinson (R) [slug: ashley---hinson]
IA,2,JSON candidate NOT on SWC: Charlie Mcclintock (R) [slug: charlie---mcclintock]
IA,2,JSON candidate NOT on SWC: Rodney Blum (R) [slug: rodney---blum]
